F_id,hamming distance
f_63,23
f_189,24
f_77,18
f_162,26
f_176,27
f_88,25
f_228,12
f_214,15
f_200,23
f_201,16
f_215,34
f_229,14
f_177,25
f_89,20
f_163,40
f_188,12
f_76,29
f_62,31
f_74,19
f_60,32
f_48,18
f_149,17
f_175,22
f_161,16
f_203,17
f_217,22
f_216,15
f_202,22
f_160,22
f_174,20
f_148,15
f_49,12
f_61,23
f_75,24
f_59,17
f_71,5
f_65,28
f_170,34
f_164,24
f_158,20
f_206,19
f_212,20
f_213,27
f_207,30
f_159,17
f_165,14
f_171,25
f_64,27
f_70,15
f_58,21
f_8,42
f_198,23
f_66,31
f_72,13
f_167,32
f_99,13
f_173,26
f_211,25
f_205,25
f_239,32
f_238,24
f_204,27
f_210,39
f_172,40
f_166,9
f_98,23
f_73,16
f_199,23
f_67,19
f_9,4
f_14,10
f_28,28
f_129,29
f_101,11
f_115,20
f_303,21
f_317,42
f_288,10
f_277,25
f_263,25
f_262,12
f_276,27
f_289,22
f_316,26
f_302,32
f_114,31
f_100,18
f_128,18
f_29,9
f_15,15
f_17,12
f_116,20
f_102,0
f_314,28
f_300,30
f_248,20
f_260,28
f_274,8
f_275,20
f_261,29
f_249,30
f_301,32
f_315,28
f_103,9
f_117,28
f_16,36
f_12,17
f_113,7
f_107,13
f_311,28
f_305,27
f_265,21
f_271,20
f_259,36
f_258,26
f_270,22
f_264,45
f_304,16
f_310,10
f_106,12
f_112,26
f_13,25
f_39,21
f_11,32
f_104,27
f_110,22
f_138,21
f_306,16
f_312,18
f_299,10
f_272,20
f_266,36
f_267,27
f_273,16
f_298,16
f_313,21
f_307,22
f_139,5
f_111,38
f_105,20
f_10,5
f_38,24
f_21,23
f_35,22
f_108,24
f_120,24
f_134,22
f_295,21
f_281,35
f_256,14
f_242,34
f_243,6
f_257,25
f_280,25
f_294,12
f_135,28
f_121,28
f_109,29
f_34,13
f_20,21
f_36,25
f_22,34
f_137,19
f_123,10
f_309,16
f_282,24
f_296,19
f_269,15
f_241,27
f_255,26
f_254,18
f_240,23
f_268,29
f_297,18
f_283,21
f_320,27
f_308,42
f_122,24
f_136,11
f_23,24
f_37,14
f_33,20
f_27,33
f_132,33
f_126,37
f_318,40
f_287,26
f_293,37
f_244,20
f_250,24
f_278,43
f_279,30
f_251,25
f_245,29
f_292,18
f_286,26
f_319,37
f_127,27
f_133,11
f_26,19
f_32,16
f_18,24
f_24,15
f_30,27
f_125,33
f_131,32
f_119,23
f_290,15
f_284,28
f_253,29
f_247,22
f_246,18
f_252,25
f_285,10
f_291,15
f_118,19
f_130,21
f_124,48
f_31,19
f_25,37
f_19,25
f_42,24
f_4,41
f_56,10
f_180,21
f_194,27
f_81,15
f_95,20
f_143,14
f_157,23
f_209,25
f_235,22
f_221,5
f_220,17
f_234,41
f_208,22
f_156,21
f_142,26
f_94,21
f_80,6
f_195,21
f_181,25
f_5,20
f_57,36
f_43,32
f_55,35
f_7,24
f_41,17
f_69,20
f_197,10
f_183,30
f_96,30
f_168,31
f_82,18
f_154,30
f_140,29
f_222,17
f_236,24
f_237,32
f_223,27
f_141,23
f_155,37
f_83,28
f_97,9
f_169,23
f_182,14
f_68,24
f_196,15
f_40,22
f_54,8
f_6,14
f_192,7
f_78,31
f_186,34
f_2,33
f_50,6
f_44,19
f_151,18
f_145,14
f_93,23
f_87,23
f_179,18
f_227,30
f_233,5
f_232,27
f_226,40
f_86,26
f_178,20
f_92,4
f_144,40
f_150,16
f_45,32
f_3,32
f_51,34
f_79,25
f_187,7
f_193,29
f_185,30
f_191,3
f_47,30
f_53,25
f_1,23
f_146,19
f_152,22
f_84,14
f_90,22
f_230,20
f_224,23
f_218,38
f_219,24
f_225,15
f_231,30
f_91,28
f_85,21
f_153,31
f_147,15
f_52,39
f_46,39
f_190,28
f_184,24
