F_id,f63,f189,f77,f162,f176,f88,f228,f214,f200,f201,f215,f229,f177,f89,f163,f188,f76,f62,f74,f60,f48,f149,f175,f161,f203,f217,f216,f202,f160,f174,f148,f49,f61,f75,f59,f71,f65,f170,f164,f158,f206,f212,f213,f207,f159,f165,f171,f64,f70,f58,f8,f198,f66,f72,f167,f99,f173,f211,f205,f239,f238,f204,f210,f172,f166,f98,f73,f199,f67,f9,f14,f28,f129,f101,f115,f303,f317,f288,f277,f263,f262,f276,f289,f316,f302,f114,f100,f128,f29,f15,f17,f116,f102,f314,f300,f248,f260,f274,f275,f261,f249,f301,f315,f103,f117,f16,f12,f113,f107,f311,f305,f265,f271,f259,f258,f270,f264,f304,f310,f106,f112,f13,f39,f11,f104,f110,f138,f306,f312,f299,f272,f266,f267,f273,f298,f313,f307,f139,f111,f105,f10,f38,f21,f35,f108,f120,f134,f295,f281,f256,f242,f243,f257,f280,f294,f135,f121,f109,f34,f20,f36,f22,f137,f123,f309,f282,f296,f269,f241,f255,f254,f240,f268,f297,f283,f320,f308,f122,f136,f23,f37,f33,f27,f132,f126,f318,f287,f293,f244,f250,f278,f279,f251,f245,f292,f286,f319,f127,f133,f26,f32,f18,f24,f30,f125,f131,f119,f290,f284,f253,f247,f246,f252,f285,f291,f118,f130,f124,f31,f25,f19,f42,f4,f56,f180,f194,f81,f95,f143,f157,f209,f235,f221,f220,f234,f208,f156,f142,f94,f80,f195,f181,f5,f57,f43,f55,f7,f41,f69,f197,f183,f96,f168,f82,f154,f140,f222,f236,f237,f223,f141,f155,f83,f97,f169,f182,f68,f196,f40,f54,f6,f192,f78,f186,f2,f50,f44,f151,f145,f93,f87,f179,f227,f233,f232,f226,f86,f178,f92,f144,f150,f45,f3,f51,f79,f187,f193,f185,f191,f47,f53,f1,f146,f152,f84,f90,f230,f224,f218,f219,f225,f231,f91,f85,f153,f147,f52,f46,f190,f184
f63,0,24,26,12,30,20,26,26,26,22,18,28,32,22,14,20,14,18,24,20,20,16,32,36,20,18,26,20,28,30,24,18,10,24,20,26,12,26,8,12,26,14,36,22,28,20,20,14,20,26,16,22,12,26,22,28,22,12,28,30,32,22,18,30,16,26,22,26,12,22,38,26,20,22,22,14,30,14,18,16,18,24,16,32,26,18,28,28,28,30,30,12,22,24,30,28,34,28,34,20,16,18,32,16,12,22,36,30,28,24,32,24,12,32,30,30,24,24,26,24,16,30,34,26,22,16,24,28,24,24,22,30,24,16,18,26,20,20,26,12,28,36,26,24,22,24,30,24,30,14,12,30,18,20,24,14,30,22,26,18,28,28,22,28,20,10,16,24,16,14,16,30,26,20,32,22,30,24,12,42,22,30,22,32,28,16,20,24,24,26,22,24,14,24,22,26,20,28,42,34,20,32,24,20,34,42,32,24,26,24,22,28,32,28,24,24,32,20,24,30,36,18,14,16,22,14,26,32,24,18,18,20,28,16,30,20,24,34,26,24,24,32,28,28,10,20,16,26,20,32,22,36,12,28,18,34,12,16,30,32,34,16,28,26,14,22,20,30,40,18,30,36,24,24,16,32,16,22,18,42,18,18,30,24,18,34,38,32,20,14,28,22,18,22,24,22,28,30,20,20,20,18,30,18,20,22,32,20,20,18,16,12,44,20,32,26,18,24,12,20
f189,24,0,22,20,28,32,18,20,26,24,20,40,28,30,18,10,26,24,30,6,14,14,24,22,22,28,28,20,18,32,24,20,20,22,8,36,20,30,18,26,20,22,24,14,22,30,18,22,30,12,28,24,24,32,12,34,28,22,44,30,16,22,20,28,22,34,24,26,22,38,30,14,20,6,26,24,42,18,30,20,24,22,20,32,26,24,34,16,26,22,28,18,12,32,32,22,30,42,20,22,22,22,22,10,22,30,34,22,24,20,28,26,22,34,24,34,26,32,24,24,26,26,26,28,12,16,24,40,20,28,16,16,24,26,22,30,22,28,30,22,30,32,18,38,26,24,22,32,24,24,18,40,26,24,18,16,20,26,36,30,36,22,24,28,20,16,18,34,20,26,22,38,32,26,24,24,24,30,18,28,36,34,24,34,20,16,22,20,24,22,30,28,14,24,20,26,20,24,26,20,32,18,16,20,18,24,20,28,24,22,22,14,34,42,26,26,16,40,34,30,30,14,26,18,24,28,34,30,14,20,24,18,20,32,22,22,28,24,36,28,24,20,30,12,18,14,28,16,28,16,26,42,30,22,22,36,18,18,16,36,38,28,28,26,20,24,30,14,34,10,28,26,26,26,26,22,20,30,14,40,28,30,28,24,24,30,32,28,24,18,28,20,30,22,36,24,22,28,28,16,8,30,18,24,22,22,30,24,18,22,22,28,34,24,22,24,10,22,20,24
f77,26,22,0,16,32,24,24,28,30,30,22,34,28,22,32,20,12,24,12,22,20,26,26,28,32,18,28,30,20,38,36,30,24,10,20,18,28,28,26,28,30,32,20,28,26,22,36,22,26,18,32,26,30,16,14,32,20,24,32,36,22,30,30,26,32,30,6,28,22,32,34,14,26,20,18,26,34,32,28,16,28,30,28,30,34,16,30,30,26,28,32,22,16,34,28,22,30,30,22,28,32,32,28,20,24,20,40,26,26,24,28,30,24,28,22,34,28,40,26,24,20,28,26,28,22,16,32,36,22,12,30,26,34,16,26,36,26,22,34,30,28,22,22,24,24,28,32,30,24,36,24,28,16,34,24,24,24,24,24,20,26,24,24,24,32,22,28,32,36,28,28,30,34,34,28,22,26,32,20,22,22,28,16,18,30,28,34,30,26,22,30,24,24,20,28,28,28,28,22,26,20,24,18,20,26,28,24,28,24,30,32,26,30,32,38,34,20,28,20,22,38,22,32,22,28,24,26,26,24,28,14,30,28,36,32,38,32,26,24,8,24,32,28,16,24,24,30,18,30,28,26,26,24,16,22,26,22,30,22,34,30,26,30,34,34,26,20,24,30,22,34,24,6,28,28,26,36,32,24,36,16,38,30,34,34,34,34,36,10,30,34,24,32,14,16,30,32,28,26,20,20,28,26,30,22,14,26,14,20,30,34,36,32,18,30,14,22,30,30,28
f162,12,20,16,0,38,22,22,20,32,24,14,36,34,20,18,18,6,26,24,16,18,18,34,34,26,12,36,26,24,26,34,28,14,16,18,26,12,28,12,20,30,16,28,22,30,22,26,12,28,20,28,28,18,26,12,28,18,10,30,38,24,20,18,32,26,26,14,34,14,30,32,20,18,20,16,12,34,16,20,14,22,26,16,28,24,12,26,24,22,24,28,10,20,30,32,28,38,26,28,18,22,20,30,12,14,22,32,24,26,24,34,26,10,34,28,38,24,32,24,28,12,28,28,26,18,10,30,38,20,18,20,30,26,10,12,26,18,24,32,20,32,28,20,28,30,24,38,30,28,22,8,26,12,26,20,10,30,26,28,16,28,28,28,32,20,6,12,32,22,12,14,32,28,28,30,12,30,32,12,34,22,24,18,30,32,18,26,26,24,22,28,24,18,12,24,26,24,28,32,28,18,24,18,18,32,32,32,22,26,32,30,24,30,32,28,34,30,24,24,26,32,22,24,10,30,12,20,28,26,20,8,28,24,22,32,28,24,32,28,16,22,34,32,24,14,16,26,20,30,30,30,32,14,22,16,32,8,20,26,32,30,18,26,28,20,22,26,28,30,14,36,36,16,34,28,30,22,34,20,34,12,26,24,28,24,36,30,34,10,18,34,20,26,12,24,28,30,32,30,20,18,26,30,28,18,16,34,12,16,24,18,22,38,16,32,18,14,28,20,28
f176,30,28,32,38,0,24,30,30,20,30,36,16,6,28,30,22,34,18,30,26,24,36,16,28,30,38,10,30,38,30,18,12,30,30,26,28,30,24,34,26,26,32,20,28,18,20,24,34,24,30,20,24,26,32,26,30,30,38,24,14,34,30,32,20,20,36,32,20,28,30,26,30,20,22,34,32,26,28,30,34,30,34,28,24,34,32,34,28,48,30,24,34,24,30,22,28,10,26,36,32,28,28,30,26,32,36,30,24,20,28,12,30,38,18,38,20,30,18,24,16,30,24,28,36,26,30,14,20,32,28,30,30,30,34,36,38,32,20,16,20,22,28,42,28,12,36,18,20,38,28,34,26,36,26,34,36,16,20,30,36,28,22,18,10,30,34,34,22,26,34,30,20,30,28,32,36,26,16,32,22,34,34,36,28,16,32,30,32,30,26,28,22,28,44,32,34,32,30,26,36,32,22,28,36,18,30,16,38,36,26,34,26,24,28,26,14,26,30,32,34,28,20,22,32,22,32,38,24,18,22,40,14,28,28,30,26,20,6,34,34,20,10,18,28,26,26,22,18,14,28,12,30,32,36,22,38,36,26,30,12,38,24,22,28,26,36,28,22,26,30,20,12,34,10,18,8,26,12,22,26,32,20,38,26,26,16,28,12,34,22,12,22,26,40,30,24,20,22,12,24,28,16,12,20,28,32,10,32,22,36,28,30,26,32,12,32,30,16,26,16
f88,20,32,24,22,24,0,30,40,26,32,26,22,24,4,30,28,16,18,24,28,24,30,28,26,34,22,18,38,32,28,24,26,20,26,28,30,28,18,24,22,42,28,20,38,26,16,36,26,18,26,12,32,26,26,32,22,30,26,24,34,42,32,30,20,32,20,20,24,16,16,32,26,26,28,24,26,26,32,28,16,26,38,28,18,28,18,22,24,38,28,24,26,26,26,24,38,28,24,40,38,32,32,44,26,24,30,36,22,18,26,22,18,26,28,40,18,34,24,28,14,20,24,40,32,28,28,20,24,30,26,34,40,42,24,28,28,28,12,22,24,20,38,32,32,12,26,26,28,38,32,24,14,24,36,36,26,36,14,36,28,36,24,20,22,32,24,28,20,30,30,34,24,32,38,46,30,32,20,20,28,32,42,26,30,22,28,30,40,36,30,30,18,24,26,34,26,36,22,38,38,30,28,26,30,26,42,38,34,36,38,34,36,24,20,38,24,32,12,32,32,32,26,18,30,22,22,30,24,26,20,24,20,40,30,40,36,16,24,28,24,20,28,18,30,20,34,8,30,20,44,14,36,22,22,24,30,26,28,44,28,28,20,8,20,30,28,22,38,38,26,20,26,22,18,14,26,34,22,26,34,10,30,34,42,34,28,24,24,24,28,20,28,20,20,22,22,38,22,16,26,24,12,34,22,24,16,24,26,30,34,32,32,38,22,26,32,26,28,22,16
f228,26,18,24,22,30,30,0,16,36,24,14,28,30,30,18,24,26,30,30,18,30,16,26,28,18,22,26,18,32,32,26,28,26,20,20,36,24,20,24,24,20,26,22,12,20,24,18,22,34,24,28,22,28,32,20,36,32,24,28,30,16,20,20,18,30,36,28,30,28,38,30,24,30,22,16,28,30,26,28,24,22,16,18,30,28,22,42,24,28,22,28,24,26,26,16,22,22,26,24,20,18,20,24,20,16,30,32,26,22,14,30,24,24,20,18,28,24,32,20,24,26,28,34,32,28,20,26,32,26,28,24,18,22,22,22,24,16,26,20,30,30,36,30,38,24,38,30,22,22,30,20,34,18,20,22,18,30,26,38,28,38,32,20,24,20,20,20,24,28,24,26,24,30,20,26,22,14,26,28,32,34,38,24,40,30,18,38,18,24,16,24,24,24,28,22,32,14,30,36,36,32,22,24,28,28,34,30,20,20,22,22,12,28,26,28,20,32,34,32,42,32,28,22,24,22,24,30,36,24,24,18,22,14,32,26,22,30,26,36,28,22,26,28,26,28,24,28,26,28,16,28,38,28,24,28,34,24,28,16,30,28,28,30,32,26,36,36,24,34,24,30,24,30,28,26,28,26,26,26,34,26,32,32,24,20,18,32,24,22,28,28,28,20,24,32,24,22,24,24,30,22,26,28,22,18,22,22,24,22,14,32,26,34,22,26,30,24,32,30,24
f214,26,20,28,20,30,40,16,0,32,18,16,36,30,38,16,24,26,36,32,16,30,16,28,34,14,22,32,12,30,24,26,28,24,22,18,34,20,30,20,26,14,18,32,10,26,34,12,18,40,22,38,26,24,34,18,34,26,16,28,26,16,12,14,28,26,34,30,34,28,46,22,24,24,22,18,22,36,18,26,28,22,12,14,36,28,24,36,22,24,20,24,18,24,22,24,24,26,26,14,8,16,14,18,18,18,24,22,24,30,20,32,30,16,28,16,34,16,24,22,34,22,26,22,22,26,20,26,34,20,24,16,18,10,18,18,24,18,38,22,26,36,24,24,30,36,38,34,28,18,22,22,36,20,16,12,20,24,32,28,26,28,36,28,32,14,20,14,24,18,14,12,32,36,14,18,18,18,30,26,34,30,24,24,34,32,18,34,8,16,20,20,28,28,26,16,32,12,32,28,28,28,22,22,24,30,26,24,22,18,18,20,12,30,38,12,28,32,44,30,34,24,28,28,14,30,22,26,34,26,24,20,30,8,20,22,14,28,28,30,30,24,26,34,26,26,12,40,22,36,12,40,28,26,26,26,26,18,24,16,28,26,24,34,30,22,34,38,18,28,22,38,32,32,36,34,28,18,32,26,28,32,22,28,8,12,22,30,24,22,22,34,24,24,22,36,26,16,30,38,30,20,32,22,30,18,26,28,22,14,16,18,18,26,22,26,24,22,26,30,30
f200,26,26,30,32,20,26,36,32,0,28,38,34,20,28,32,24,34,20,26,26,26,34,22,18,30,32,24,28,24,26,28,14,36,32,26,28,32,34,34,32,30,32,26,32,28,34,30,38,16,22,20,34,32,26,26,28,26,36,34,28,28,30,32,32,24,30,30,12,28,26,28,28,24,22,28,26,32,30,28,30,28,32,28,32,26,26,24,20,34,24,22,34,22,26,36,26,26,38,28,32,32,34,28,26,32,28,30,28,28,36,24,30,36,36,32,26,26,26,32,24,28,22,26,24,28,30,20,34,30,32,32,34,32,36,38,34,34,30,22,28,18,32,24,28,20,26,12,34,28,30,30,28,32,32,34,36,26,18,26,26,24,16,22,26,34,30,34,30,28,30,30,38,22,30,30,34,38,30,32,22,34,32,34,24,14,34,26,34,24,34,40,18,30,34,30,32,32,16,26,24,28,24,20,28,22,24,24,44,24,30,28,34,36,30,28,18,20,28,30,28,26,24,26,28,20,34,30,24,14,26,36,16,34,28,26,30,22,22,24,30,30,20,18,20,28,22,26,22,20,34,22,32,26,28,24,30,36,28,30,28,32,24,24,24,30,26,24,30,30,28,18,24,28,18,18,18,30,26,30,30,30,30,38,28,28,30,26,26,34,26,26,28,28,32,26,22,32,36,24,26,26,24,26,28,26,30,26,32,24,30,28,32,32,26,24,20,28,16,26,20
f201,22,24,30,24,30,32,24,18,28,0,26,34,32,34,18,30,26,32,32,22,32,20,32,34,22,22,34,18,34,30,30,28,26,28,24,32,22,32,26,26,16,26,28,16,28,34,14,24,30,24,30,28,22,32,26,38,26,28,34,24,22,16,24,32,18,38,30,30,30,34,30,28,28,28,20,20,32,24,12,28,10,16,18,38,18,20,40,30,32,32,32,26,30,26,26,22,30,30,24,22,14,18,18,22,18,22,30,26,28,22,32,30,28,32,22,28,14,28,20,30,20,32,26,20,28,26,30,34,22,24,22,24,18,22,22,26,14,34,32,26,32,28,30,26,30,32,34,26,24,24,22,38,22,16,18,22,24,28,28,24,30,34,28,30,18,22,28,32,22,26,26,34,28,14,26,18,22,24,26,36,32,28,26,30,34,20,32,16,14,18,20,32,24,26,18,34,18,32,32,26,28,30,24,28,38,30,24,18,20,16,20,20,40,34,18,28,32,34,30,36,30,30,28,24,28,18,26,36,30,26,22,28,16,26,22,14,32,32,30,30,18,30,30,26,26,24,32,30,32,22,34,30,24,28,24,30,24,20,22,30,30,22,32,32,18,32,28,24,32,26,32,34,30,34,32,34,20,34,26,34,30,22,22,14,14,28,36,28,28,22,36,30,28,20,32,26,22,36,30,32,24,30,24,28,16,24,34,28,22,14,22,22,34,20,36,26,26,30,26,28
